Data do leilуo;Tэtulo;Tipo de leilуo;Volta;Data de liquidaчуo;Data de vencimento;Oferta;Taxa mщdia;Taxa de corte;Venda;Financeiro (R$);Venda para Bacen;Financeiro para Bacen (R$)
31/01/2013;LTN;Venda;1.к volta;01/02/2013;01/07/2016;1.000.000;8,7496;8,755;1.000.000;751.575.250,04;0;0
31/01/2013;LTN;Venda;2.к volta;01/02/2013;01/07/2016;200.000;8,7496;8,7496;0;0;0;0
31/01/2013;LTN;Venda;1.к volta;01/02/2013;01/10/2013;1.000.000;7,1425;7,16;638.000;609.487.686,10;0;0
31/01/2013;LTN;Venda;2.к volta;01/02/2013;01/10/2013;200.000;7,1425;7,1425;0;0;0;0
31/01/2013;NTN-F;Venda;1.к volta;01/02/2013;01/01/2019;300.000;9,0888;9,1;130.000;136.408.765,56;0;0
31/01/2013;NTN-F;Venda;1.к volta;01/02/2013;01/01/2023;750.000;9,5108;9,5399;750.000;780.149.297,80;0;0
31/01/2013;NTN-F;Venda;2.к volta;01/02/2013;01/01/2023;150.000;9,5108;9,5108;0;0;0;0
31/01/2008;LTN;Venda;1.к volta;01/02/2008;01/01/2010;1.500.000;12,8036;12,8061;1.500.000;1.191.278.063,10;0;0
31/01/2008;LTN;Venda;2.к volta;01/02/2008;01/01/2010;225.000;12,8036;12,8036;56.125;44.573.654,17;0;0
31/01/2008;LTN;Venda;1.к volta;01/02/2008;01/10/2008;1.000.000;0;0;0;0;0;0
31/01/2008;NTN-F;Venda;1.к volta;01/02/2008;01/01/2012;300.000;12,9689;12,9689;300.000;277.279.107,30;0;0
31/01/2008;NTN-F;Venda;2.к volta;01/02/2008;01/01/2012;45.000;12,9689;12,9689;11.250;10.397.966,52;0;0
31/01/2008;NTN-F;Venda;1.к volta;01/02/2008;01/01/2017;300.000;13,0313;13,0399;300.000;257.579.434,00;0;0
31/01/2008;NTN-F;Venda;2.к volta;01/02/2008;01/01/2017;45.000;13,0313;13,0313;12.250;10.517.826,87;0;0
31/01/2006;LTN;Venda;1.к volta;01/02/2006;01/07/2007;4.000.000;15,7995;15,8079;4.000.000;3.260.810.857,22;0;0
31/01/2006;LTN;Venda;2.к volta;01/02/2006;01/07/2007;600.000;15,7995;15,7995;404.753;329.955.744,09;0;0
31/01/2006;LTN;Venda;1.к volta;01/02/2006;01/07/2008;1.500.000;15,3047;15,3179;1.500.000;1.068.651.444,13;0;0
31/01/2006;LTN;Venda;2.к volta;01/02/2006;01/07/2008;225.000;15,3047;15,3047;32.053;22.835.656,48;0;0
31/01/2006;LTN;Venda;1.к volta;01/02/2006;01/10/2006;500.000;16,1862;16,1863;500.000;452.950.160,00;0;0
31/01/2006;LTN;Venda;2.к volta;01/02/2006;01/10/2006;75.000;16,1862;0;0;0;0;0
31/01/2006;NTN-F;Venda;1.к volta;01/02/2006;01/01/2010;300.000;15,1098;15,1297;300.000;261.224.725,00;0;0
31/01/2006;NTN-F;Venda;2.к volta;01/02/2006;01/01/2010;45.000;15,1098;15,1098;33.000;28.734.719,73;0;0
31/01/2006;NTN-F;Venda;1.к volta;01/02/2006;01/01/2012;200.000;14,9932;15;74.500;61.699.319,18;0;0
31/01/2005;NTN-B;Venda;1.к volta;01/02/2005;15/05/2009;100.000;0;0;0;0;0;0
31/01/2005;NTN-B;Venda;1.к volta;01/02/2005;15/08/2006;100.000;0;0;0;0;0;0
